<dbpedia:United_States>	8383803
<dbpedia:United_Kingdom>	4985994
<dbpedia:Australia>	3907219
<dbpedia:Germany>	3769728
<dbpedia:Russia>	3642226
<dbpedia:Japan>	3421082
<dbpedia:New_York_City>	3223995
<dbpedia:Singapore>	3206865
<dbpedia:London>	3090804
<dbpedia:New_Zealand>	2684163
<dbpedia:Netherlands>	2627408
<dbpedia:Israel>	2603614
<dbpedia:Hong_Kong>	2401449
<dbpedia:California>	2380677
<dbpedia:Italy>	2339574
<dbpedia:Mexico>	2268204
<dbpedia:England>	2256906
<dbpedia:Spain>	2251182
<dbpedia:United_Arab_Emirates>	2210206
<dbpedia:Taiwan>	2161625
<dbpedia:Los_Angeles>	2064727
<dbpedia:Paris>	2061766
<dbpedia:South_Korea>	2002556
<dbpedia:Dubai>	1942362
<dbpedia:Denmark>	1921823
<dbpedia:Norway>	1920531
<dbpedia:Puerto_Rico>	1890030
<dbpedia:Washington,_D.C.>	1829845
<dbpedia:Chicago>	1826934
<dbpedia:Ukraine>	1816866
<dbpedia:New_York>	1791331
<dbpedia:Ireland>	1783564
<dbpedia:Hawaii>	1714252
<dbpedia:Argentina>	1675826
<dbpedia:Scotland>	1638704
<dbpedia:Finland>	1636136
<dbpedia:Austria>	1600408
<dbpedia:Texas>	1569083
<dbpedia:Toronto>	1507827
<dbpedia:Malta>	1499299
<dbpedia:Czech_Republic>	1494008
<dbpedia:Georgia_(country)>	1475207
<dbpedia:Morocco>	1470476
<dbpedia:Greenland>	1457158
<dbpedia:Sri_Lanka>	1437027
<dbpedia:San_Francisco>	1431962
<dbpedia:Afghanistan>	1425649
<dbpedia:Hungary>	1420812
<dbpedia:Philadelphia>	1355636
<dbpedia:Luxembourg>	1328123
<dbpedia:Tokyo>	1320905
<dbpedia:Alaska>	1313105
<dbpedia:Mumbai>	1287429
<dbpedia:Chile>	1284755
<dbpedia:Florida>	1284133
<dbpedia:Monaco>	1229493
<dbpedia:Rome>	1228410
<dbpedia:Seattle>	1211950
<dbpedia:Albania>	1205287
<dbpedia:Republic_of_Ireland>	1200958
<dbpedia:Jamaica>	1196113
<dbpedia:Cambodia>	1192492
<dbpedia:Democratic_Republic_of_the_Congo>	1175914
<dbpedia:Abu_Dhabi_(emirate)>	1174499
<dbpedia:Wales>	1161334
<dbpedia:Berlin>	1141394
<dbpedia:Dominican_Republic>	1140738
<dbpedia:Slovenia>	1130659
<dbpedia:Peru>	1127773
<dbpedia:Amsterdam>	1122434
<dbpedia:Isle_of_Man>	1108489
<dbpedia:Massachusetts>	1096712
<dbpedia:Algeria>	1092975
<dbpedia:Kenya>	1091946
<dbpedia:Bahrain>	1081221
<dbpedia:Barcelona>	1069450
<dbpedia:Istanbul>	1069097
<dbpedia:Guam>	1069055
<dbpedia:Seoul>	1067109
<dbpedia:Vancouver>	1053981
<dbpedia:Vienna>	1047465
<dbpedia:Latvia>	1047044
<dbpedia:Bosnia_and_Herzegovina>	1038156
<dbpedia:Republic_of_Macedonia>	1031689
<dbpedia:Shanghai>	1028028
<dbpedia:Seychelles>	1011780
<dbpedia:Macau>	1010965
<dbpedia:Pennsylvania>	1009514
<dbpedia:Virginia>	998473
<dbpedia:Belize>	998171
<dbpedia:Las_Vegas>	984754
<dbpedia:Beijing>	982796
<dbpedia:Sydney>	981577
<dbpedia:Quebec>	981380
<dbpedia:Manhattan>	979370
<dbpedia:Zimbabwe>	978602
<dbpedia:Kuwait>	976409
<dbpedia:Brussels>	971126
<dbpedia:New_Jersey>	967053
<dbpedia:Gibraltar>	958115
<dbpedia:Mali>	954301
<dbpedia:Moscow>	953803
<dbpedia:Tanzania>	952704
<dbpedia:Mexico_City>	947024
<dbpedia:Kankan>	944746
<dbpedia:Panama>	937952
<dbpedia:Papua_New_Guinea>	927873
<dbpedia:Budapest>	927597
<dbpedia:Jerusalem>	927417
<dbpedia:Prague>	921398
<dbpedia:Northern_Ireland>	916149
<dbpedia:Venice>	916042
<dbpedia:Saint_Petersburg>	915219
<dbpedia:British_Columbia>	912936
<dbpedia:Bangalore>	898813
<dbpedia:New_Orleans>	893232
<dbpedia:Michigan>	891095
<dbpedia:Ohio>	885650
<dbpedia:Washington_(state)>	867803
<dbpedia:Dublin>	861734
<dbpedia:Rio_de_Janeiro>	857104
<dbpedia:Georgia_(U.S._state)>	856161
<dbpedia:Minnesota>	854060
<dbpedia:Sparta>	852969
<dbpedia:Denver>	848841
<dbpedia:Kerala>	847599
<dbpedia:Copenhagen>	847596
<dbpedia:Uzbekistan>	842275
<dbpedia:Faroe_Islands>	839824
<dbpedia:Burkina_Faso>	838722
<dbpedia:Melbourne>	833554
<dbpedia:Oregon>	832180
<dbpedia:Bermuda>	826985
<dbpedia:Athens>	825871
<dbpedia:Hamburg>	818328
<dbpedia:Chennai>	817835
<dbpedia:Trinidad_and_Tobago>	815470
<dbpedia:Delhi>	811018
<dbpedia:Maryland>	808224
<dbpedia:Bali>	807800
<dbpedia:Andorra>	796408
<dbpedia:Edinburgh>	794479
<dbpedia:Colorado>	793821
<dbpedia:Canary_Islands>	793122
<dbpedia:Easter_Island>	779330
<dbpedia:Bolivia>	778479
<dbpedia:Ontario>	777858
<dbpedia:Kyrgyzstan>	777065
